5231	-0.009856414,-0.023038104,-0.0020599482,-0.023800705,-0.042192545,0.03485228,0.080696434,0.04099338,0.09098685,0.025094075,0.03620947,-0.07450623,-0.050318494,-0.04822669,-0.13699582,-0.062299952,0.053435635,-0.050696194,0.024428759,0.0584204,-0.06726644,0.099824324,-0.01184926,-0.054667715,0.062463228,-0.020739146,-0.009457782,0.071531564,0.027137995,-0.08095034,-0.091153406,-0.046784196,0.013308301,-0.06986069,0.033130366,-0.12174023,-0.013762426,-0.0525229,0.12439597,0.009643592,-0.03928958,-0.02798149,-0.009217784,0.029525336,0.031434547,-0.018846126,0.030544324,-0.04266416,-0.07170094,0.044835545,0.07498057,0.006030045,0.04051628,-0.040617,-0.035795,-0.089534685,0.020182177,-0.072526865,0.03814094,-7.20273E-4,0.023606364,0.027244983,-0.020786542,-0.04824974,0.041824356,0.039068505,0.04229662,0.01613853,0.0033235888,0.046242066,0.05947104,0.004887172,-0.084521785,-0.08284887,-0.04679032,0.00218657,0.06814085,0.11658334,-0.09383044,-0.12777781,-0.006040407,-0.014538176,-0.08169164,-0.08128901,0.08857641,-0.01582005,0.09591278,0.09438306,0.10029806,0.039023645,0.21898302,-0.08021939,0.039269872,-0.08976578,0.10714464,0.09875634,0.12205939,0.041669022,-0.072543204,0.019879017,-0.10739439,0.11088005,-0.109694466,-0.1097905,-0.054683693,0.0475247,-0.023691881,0.058499612,-0.058690116,-0.0277345,-0.07015668,-0.028847532,-0.044657446,-0.11018859,0.11420947,0.070336185,1.6795495E-4,-0.099800214,0.059404545,0.04432939,-0.019425645,-0.034940865,0.03996848,-0.08936467,-0.026553763,-0.035395034,-0.09515349,0.06310001
2263	0.07721711,-0.05091726,0.0076019084,-0.0918988,0.0034630583,0.0011619447,0.051595036,0.06400219,0.106212355,0.074859634,0.01820996,-0.075496316,-0.08203056,-0.04846683,-0.04822153,0.10382126,-0.061633527,0.07658401,0.013804253,0.120629475,-0.048932504,0.04992261,0.06373396,0.0391903,0.07095666,0.010307932,-0.014016465,0.02167207,-0.081469774,-0.042959142,-0.13353316,0.013787489,0.050447755,0.0063829096,0.011685649,0.040838823,-0.018796243,-0.043869197,0.105573885,-0.002691345,0.02857707,-0.037539687,-0.055935457,0.059024036,0.0011657842,0.10110507,0.016768312,0.10720868,-0.03706894,0.02963763,0.12722015,0.10265647,-0.04595459,-0.11638051,0.0017792447,-0.008936048,0.011604949,0.041229,-0.051035814,0.030635677,-0.0469671,0.015615803,0.017778613,-0.085167825,-0.0013111946,0.024130866,0.09010437,0.004516841,0.054057624,-0.01627671,-0.035753615,0.040704843,-0.026105065,-0.09627465,0.016543746,-0.04371612,0.04275411,-0.01595473,-0.028977808,-0.038189802,-0.08365209,0.081863105,0.04606753,0.016845088,0.01612859,3.1679566E-4,0.02549602,-0.059691675,-0.003078591,-0.008061153,0.059693396,-0.034396354,0.04254424,0.012541447,0.0358769,0.0139302425,0.10307546,0.11780264,0.015042221,-0.05791462,0.0036783377,0.008824155,-0.0044718008,-0.06514235,-0.0033739898,-0.016197404,-0.057428896,0.062638335,0.0021388335,-0.021389918,-0.011528943,-0.07079756,-0.10278835,-0.040413044,0.01571832,0.10307294,0.0034833546,0.0035653468,0.042496245,0.006035084,-0.015817862,-0.013891791,0.038494337,-0.011418596,-0.070322536,-0.007105438,-0.10225051,-0.009245222
5335	0.053597838,-0.022880578,-0.009098141,-0.07833453,-0.024035878,0.015623959,0.043751642,0.048940416,0.089308575,0.0687475,0.015757918,-0.06653654,-0.06582723,-0.037004918,-0.06660682,0.048813768,-0.01824801,0.035995413,0.015652543,0.10045106,-0.0662945,0.05452226,0.042160314,0.0074103326,0.07109615,-0.0022709286,-0.02055818,0.024878185,-0.056810413,-0.046016663,-0.123363495,-0.02384557,0.008087045,-0.032215193,0.0392217,-0.022982977,-0.015560939,-0.06802544,0.11168739,0.0013025207,0.019380637,-0.014046305,-0.058658917,0.07001492,0.016950589,0.0641915,0.0066171344,0.043910567,-0.034432314,0.05305748,0.1071314,0.07301275,-0.020066697,-0.08791185,-0.018650183,-0.045895666,0.00264441,0.011269537,-0.02869015,0.023321245,-0.017603187,0.008595223,-0.0075612986,-0.074391164,0.021119982,0.038418524,0.07225338,0.0035490696,0.032267604,-0.007603763,0.0017294467,0.017747514,-0.039472934,-0.08830905,-7.0311234E-4,-0.004111729,0.058670532,0.023083292,-0.03664898,-0.0755065,-0.060810834,0.045089826,-0.008306583,-0.016527202,0.039189413,0.005952253,0.03009964,-0.008793137,0.049417064,0.006590963,0.12988238,-0.050501324,0.047311977,-0.031440318,0.043885767,0.050657682,0.1252562,0.08900155,-0.040549617,-0.004144436,-0.029443093,0.044794157,-0.029188331,-0.07995607,-0.04050261,-0.00907862,-0.03521416,0.06199534,-0.015387735,-0.022514312,-0.04092651,-0.04612407,-0.07634784,-0.06916487,0.054022904,0.08016953,0.011495897,-0.02188589,0.041330412,0.033391092,-0.0012378674,-0.02298319,0.04142893,-0.0233671,-0.032628294,-0.027917314,-0.09100184,0.0036633443
2499	0.027534759,-0.041933794,0.013177784,-0.044929586,-0.020867255,0.016444542,0.07185222,0.049980205,0.09756384,0.043292124,0.04076705,-0.0773328,-0.0628965,-0.051996544,-0.10679531,0.016818492,6.264844E-5,0.0020943,0.02564531,0.083348274,-0.06000049,0.08144219,0.017461266,-0.0169434,0.063395366,-0.0057040397,-0.0085344585,0.054302145,-0.015603945,-0.06606229,-0.10138326,-0.013594421,0.03806629,-0.026378667,0.021028355,-0.04775547,-0.020995414,-0.03549432,0.114369825,7.710799E-4,-0.014612271,-0.041563522,-0.023298115,0.035793547,0.022468457,0.030767549,0.03681227,0.030474342,-0.06244362,0.027820177,0.0994821,0.04947537,0.00603852,-0.07587303,-0.01410611,-0.045926146,0.016439464,-0.02171499,-0.0017811591,0.0069231675,-0.0063302955,0.02448833,-0.004712634,-0.061892807,0.0119865285,0.027131043,0.057234388,0.015645267,0.031826492,0.02403336,0.018238606,0.025779678,-0.06024232,-0.08672524,-0.01543133,-0.020585308,0.057090987,0.054867797,-0.06931536,-0.08619846,-0.037545357,0.025177756,-0.017946204,-0.034233678,0.05722957,-0.017754134,0.06883969,0.02994332,0.041548043,0.01602031,0.13750227,-0.06002038,0.040162157,-0.036513038,0.08252478,0.05861492,0.10989852,0.071433395,-0.025485631,-0.02000169,-0.058426052,0.0579164,-0.060308892,-0.088982366,-0.021470485,0.026533723,-0.04382932,0.059711404,-0.03175833,-0.029326893,-0.034610037,-0.04866081,-0.06674389,-0.07240945,0.06323928,0.08750473,0.0061034355,-0.051763456,0.048056476,0.020861577,-0.01647559,-0.018306477,0.045508005,-0.059207886,-0.048211675,-0.012725969,-0.105811946,0.028998194
13284	0.0516926,-0.036850847,0.006905405,-0.071599476,-0.0093856845,0.005199845,0.048220653,0.0490096,0.09414447,0.053215012,0.023888066,-0.068147376,-0.06257014,-0.041309442,-0.06885943,0.05700638,-0.027867131,0.04242155,0.017544342,0.09847206,-0.044640657,0.05033663,0.043593567,0.0080181025,0.06144139,-0.0022240246,-0.0061052134,0.03518158,-0.04777511,-0.04097027,-0.11520241,-6.8882946E-4,0.038958803,-0.006726795,0.011570092,-0.00373419,-0.02156725,-0.041253492,0.099030614,-0.0057991836,0.0077196714,-0.03210825,-0.040955596,0.044363566,0.018517537,0.06821506,0.023059972,0.061988853,-0.03893242,0.02289244,0.103185296,0.07434601,-0.01844272,-0.09446455,-0.005058363,-0.02722513,0.010405461,0.012436548,-0.027886499,0.020027243,-0.026645757,0.017317232,0.008478625,-0.06294455,0.0061595975,0.024193082,0.06702784,0.007528623,0.040061247,8.3575316E-4,-0.013915785,0.032366153,-0.037420917,-0.08109181,0.0012971926,-0.035522528,0.049691893,0.01027287,-0.03177411,-0.059178006,-0.06386291,0.048536822,0.014269098,-0.008034808,0.034865595,-0.005286974,0.032537732,-0.016522544,0.019161563,0.001049007,0.08762933,-0.041911002,0.03869026,-0.0042474577,0.054822598,0.035562046,0.0944338,0.08977851,-0.0018838737,-0.038518235,-0.019686496,0.025044397,-0.022484943,-0.07166191,-0.016996942,0.0063452427,-0.044673454,0.055646215,-0.014121929,-0.02104222,-0.018775027,-0.049903892,-0.0806709,-0.047019467,0.032006226,0.085516796,0.0068301456,-0.011572696,0.038487323,0.01356022,-0.014395956,-0.008102645,0.04091452,-0.02477351,-0.050579138,-0.005101698,-0.098996036,0.0071725906
20590	0.04187674,-0.04924043,0.018701311,-0.06917062,-0.00463653,-0.0047572055,0.07955053,0.05968451,0.12942255,0.04799154,0.045276035,-0.08368473,-0.07163548,-0.05301489,-0.12101567,0.044635173,-0.030840274,0.038380455,0.021599555,0.11027257,-0.06582773,0.09824712,0.03094399,-0.0102169905,0.0665199,0.007029222,-0.01778199,0.060031034,-0.04047013,-0.06610184,-0.14246707,0.0037614293,0.043886285,-0.02644776,0.022148289,-0.0235974,-0.03463741,-0.029038556,0.13893147,-0.0072021238,-0.009618267,-0.06701443,-0.022478137,0.04138544,0.012552482,0.06641046,0.050124526,0.06810044,-0.060888104,0.024229834,0.12772368,0.08386345,-0.0015574617,-0.1113925,-0.012964319,-0.038266312,0.027404984,-0.01271723,-0.014918389,0.025013676,-0.028737314,0.03073382,0.0031170489,-0.072669655,0.013557555,0.028207438,0.08063887,0.019122958,0.04610527,0.02951364,-0.010830873,0.031795856,-0.05871812,-0.1075453,-0.0030356403,-0.047385372,0.06519228,0.038891394,-0.07688218,-0.07918468,-0.059057094,0.049906343,0.0068065627,-0.03362007,0.053981293,-0.02134173,0.05823815,-1.5605264E-4,0.033576023,0.012699799,0.1408937,-0.063275054,0.04108026,-0.020158688,0.09086951,0.05014165,0.12225186,0.10157643,-0.013156438,-0.053172454,-0.04166608,0.048726797,-0.058003694,-0.109704934,-0.026527295,0.024152085,-0.073363066,0.06603878,-0.024892148,-0.036714774,-0.0245091,-0.07149914,-0.10205062,-0.075489946,0.05531962,0.10753036,-0.012413036,-0.04419029,0.052414834,0.010688459,-0.013476841,-0.029064579,0.038238943,-0.05542798,-0.072610326,-0.019654602,-0.12020817,0.031268224
20689	0.22577938,-0.25755888,0.24262668,-0.14830191,0.24593543,-0.13905142,0.15629922,0.16258615,0.22048974,0.025518429,0.08113152,-0.10066527,-0.1208247,-0.14433058,0.025454618,0.56021005,-0.44047555,0.34298316,0.05377539,0.20521012,0.10648092,-0.050381396,0.19963071,0.24200597,0.032513388,0.11916566,0.07974164,0.08234709,-0.18082957,-0.012220104,-0.2411656,0.3670401,0.4164235,0.38255817,-0.29668152,0.53048617,-0.13652594,0.24244517,0.0022959998,-0.112566,0.087835334,-0.24957968,0.01699645,-0.062715285,-0.08351961,0.38120124,0.16370863,0.583188,-0.055757478,-0.1917231,0.20362362,0.39647833,-0.19552772,-0.38203394,0.2565346,0.30128375,0.0818103,0.26984683,-0.2523372,0.039268173,-0.26059714,0.122652225,0.21511059,-0.07258266,-0.28297293,-0.14695494,0.20046505,0.09213809,0.25558263,-0.0041177245,-0.32525757,0.18510725,0.07657142,-0.1320904,0.20366898,-0.43030512,-0.1080917,-0.3912152,0.041641925,0.29062885,-0.2897908,0.35303918,0.562903,0.28862813,-0.2033934,-0.109071895,-0.051919296,-0.4558893,-0.56066644,-0.1338387,-0.5893242,0.1137224,-0.062491626,0.43999636,0.019271553,-0.34372997,-0.13099726,0.28452885,0.5327997,-0.5269304,0.31123468,-0.29281574,0.23251034,0.064415075,0.3912652,-0.045117892,-0.33784136,0.03990876,0.20235641,0.028745567,0.3122714,-0.18973452,-0.29452577,0.3386267,-0.35533965,0.25995016,-0.054764092,0.286082,0.053704754,-0.24387126,-0.10266206,0.15317543,0.05185319,0.11501396,-0.3920707,0.21609862,-0.16011877,-0.08487529
16405	0.008142547,-0.03293777,0.014951502,-0.03019395,-0.02339581,0.01848846,0.076853685,0.039417434,0.087104484,0.02266132,0.043729372,-0.06887678,-0.049550228,-0.05130105,-0.119337566,-0.023545686,0.02975865,-0.028816719,0.020953681,0.06829714,-0.05903648,0.09058613,-0.0026967598,-0.04293585,0.052747477,-0.009536959,-0.0086219795,0.06373267,0.009734434,-0.072223976,-0.087371595,-0.020097803,0.032710213,-0.043771416,0.025736671,-0.08753708,-0.015519569,-0.03904462,0.11599415,0.0020045375,-0.029139351,-0.028650783,-0.009396631,0.025988726,0.026602512,0.0054331357,0.0365961,-0.013057538,-0.06633633,0.028859327,0.082434565,0.026708925,0.023633042,-0.062074333,-0.018685685,-0.06930279,0.016448654,-0.04630124,0.024482753,-4.951218E-4,0.007864777,0.025998939,-0.0076888255,-0.043747377,0.021517893,0.033780374,0.046342682,0.014354137,0.015368461,0.0360223,0.036326353,0.011131354,-0.07083237,-0.07749393,-0.029733874,-0.009886259,0.062034253,0.08845919,-0.07668267,-0.10169194,-0.019784246,0.0016597509,-0.04540258,-0.057848364,0.07236176,-0.017097067,0.074007444,0.06382565,0.066811815,0.028505385,0.1707039,-0.06874105,0.035327334,-0.058416888,0.0908626,0.07462226,0.099072225,0.05626313,-0.03775537,-0.003299749,-0.078806736,0.07634696,-0.090255596,-0.09312353,-0.041622464,0.041694257,-0.035740096,0.052528255,-0.04904534,-0.028561391,-0.042894237,-0.033535495,-0.05485407,-0.08498818,0.08554595,0.07976613,0.0071983384,-0.06487303,0.05480514,0.027971398,-0.022722196,-0.018293671,0.04192354,-0.07115431,-0.040038332,-0.018341597,-0.095646456,0.046405137
6503	0.041879524,-0.0844814,0.056486297,-0.050719075,0.014209554,-0.013935908,0.12266052,0.055909995,0.14759564,0.0077697737,0.070811,-0.102692716,-0.07684313,-0.09667976,-0.1529421,0.04263717,-0.05203117,0.026362265,0.008734703,0.10545498,-0.05265015,0.110282406,0.03477248,0.0013285032,0.058644027,0.018901818,-0.01703542,0.11062029,-0.018339194,-0.0693747,-0.13981897,0.028939717,0.10312488,-0.011339479,-0.020208905,0.012095943,-0.055776775,0.03785012,0.14085312,-0.017484985,-0.021507507,-0.11202721,0.028514177,0.014826825,0.0020323112,0.08415971,0.08600639,0.1010403,-0.093489625,-0.005036619,0.112214625,0.10125165,-0.027579846,-0.12316764,0.033210587,-0.02547756,0.047120806,-0.022657577,-0.009119018,-0.0024877077,-0.024927502,0.03430415,0.022539288,-0.070423305,-0.018408345,0.015741205,0.09079415,0.029652013,0.08501737,0.053781822,-0.0017566329,0.06157606,-0.05654405,-0.11612327,0.009123841,-0.087619476,0.040511977,0.0267713,-0.09740107,-0.040859565,-0.04778153,0.076667875,0.05728176,-0.03611104,0.025906278,-0.0636288,0.107714996,-0.029696194,-0.026021872,0.04380159,0.07968178,-0.050391577,0.01800906,0.022014035,0.12160213,-0.0027734353,0.094048835,0.08432303,0.05400937,-0.10953202,-0.018178768,0.044967815,-0.059413556,-0.1257371,0.028023994,0.031525426,-0.0989956,0.07053147,-0.0122557385,-0.04475651,0.006248674,-0.09140421,-0.10497579,-0.060381874,0.023297437,0.12832905,-0.04436017,-0.05105401,0.069705404,-0.03161565,-0.03886951,-0.035683665,0.05111044,-0.10212331,-0.13019371,0.0019582564,-0.11847904,0.050066147
966	0.09443526,-0.048509363,-0.007017024,-0.11684946,-0.005021092,-0.010818161,0.027193408,0.0712135,0.10891239,0.1006442,0.013759594,-0.06971411,-0.09456305,-0.035433322,-0.030489396,0.13971856,-0.07596386,0.11226659,0.014590315,0.13701142,-0.05690627,0.03753564,0.09059651,0.053001065,0.08119848,0.01568502,-0.016434506,-2.8730743E-4,-0.1134958,-0.03512883,-0.16321622,0.007937873,0.03406956,0.0037389577,0.03486975,0.053422663,-0.015197856,-0.06809453,0.110744454,-0.0046056136,0.04896116,-0.027350614,-0.0932931,0.08756735,0.0021955473,0.12690978,0.012183295,0.12746952,-0.023378517,0.03560751,0.15584433,0.1250358,-0.061423533,-0.13299154,-0.009268241,-0.008479126,0.0040501226,0.074914746,-0.07141905,0.052458227,-0.05926113,0.011639104,0.01828879,-0.09587645,0.0065020355,0.032272615,0.10553946,-0.004447406,0.05686114,-0.031742312,-0.057687774,0.03377029,-0.012395509,-0.11310348,0.024104597,-0.03456182,0.05759226,-0.04101105,-0.0050137546,-0.03960622,-0.105542466,0.09548323,0.05323441,0.03216088,0.0060285144,0.01448142,-0.0071341237,-0.08900884,0.008301437,-0.03105355,0.06326819,-0.037048124,0.049310315,0.018411454,0.01555454,0.022445777,0.12096974,0.14909203,0.0025871848,-0.056232046,0.018207155,-0.011937219,0.023070585,-0.071549565,-0.019870972,-0.03671234,-0.057424493,0.07033804,0.015853822,-0.020002883,-0.018564485,-0.073882185,-0.114724375,-0.034787912,0.01080475,0.10694476,0.0055366326,0.022902105,0.031286616,0.02652688,0.00551405,-0.016283873,0.036655225,0.017201897,-0.05754622,-0.009052706,-0.11791091,-0.03273929
